DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,ERAGNY-NEUVILLE,739,95
2019-07-01,ERMONT-EAUBONNE,11709,95
2019-07-01,ERMONT-HALTE,879,95
2019-07-01,ESBLY,1607,77
2019-07-01,ESPLANADE DE LA DEFENSE,31718,92
2019-07-01,ESSONNES-ROBINSON,261,91
2019-07-01,ETAMPES,3422,91
2019-07-01,ETIENNE-MARCEL,5538,75
2019-07-01,ETRECHY,760,91
2019-07-01,EUROPE,4409,75
2019-07-01,EVRY,719,91
2019-07-01,EVRY-COURCOURONNES,13267,91
2019-07-01,EXELMANS,4836,75
2019-07-01,FAIDHERBE-CHALIGNY,7585,75
2019-07-01,FALGUIERE,2457,75
2019-07-01,FAREMOUTIERS-POMMEUSE,271,77
2019-07-01,FELIX FAURE,4516,75
2019-07-01,FILLES DU CALVAIRE,3419,75
2019-07-01,FONTAINE-LE-PORT,52,77
2019-07-01,FONTAINEBLEAU-AVON,2472,77
2019-07-01,FONTENAY-LE-FLEURY,1779,78
2019-07-01,FORT D'AUBERVILLIERS,9617,93
2019-07-01,FR. POPULAIRE,7572,93
2019-07-01,FRANCONVILLE-LE-PLESSIS-BOUCHARD,5351,95
2019-07-01,FRANKLIN-D.ROOSEVELT,18668,75
2019-07-01,FRATERNELLE,1012,94
2019-07-01,FREINVILLE-SEVRAN,5,93
2019-07-01,FREPILLON,360,95
2019-07-01,GABRIEL PERI-ASNIERES-GENNEVILLIERS,13502,92
2019-07-01,GAGNY,6361,93
2019-07-01,GAITE,7265,75
2019-07-01,GALLIENI (PARC DE BAGNOLET),14073,93
2019-07-01,GAMBETTA,17829,75
2019-07-01,GARANCIERES-LA QUEUE,395,78
2019-07-01,GARCHES-MARNES-LA-COQUETTE,2450,92
2019-07-01,GARE DE GENNEVILLIERS,3399,95
2019-07-01,GARE DE L'EST,90112,75
2019-07-01,GARE DE LYON,49135,75
2019-07-01,GARE DU NORD,95642,75
2019-07-01,GARGAN,10,93
2019-07-01,GARGENVILLE,305,95
2019-07-01,GARGES-SARCELLES,18584,95
2019-07-01,GARIBALDI,7751,93
2019-07-01,GAZERAN,82,78
2019-07-01,GEORGE V,17233,75
2019-07-01,GLACIERE,10866,75
2019-07-01,GONCOURT (HOPITAL SAINT-LOUIS),5997,75
2019-07-01,GOUSSAINVILLE,5232,95
2019-07-01,GRAND-BOURG,69,91
2019-07-01,GRANDS BOULEVARDS (RUE MONTMARTRE),15709,75
2019-07-01,GRAVIGNY-BALIZY,699,91
2019-07-01,GRETZ-ARMAINVILLIERS,737,77
2019-07-01,GRIGNY-CENTRE,7065,91
2019-07-01,GROS-NOYER-SAINT-PRIX,1590,95
2019-07-01,GROSLAY,1299,95
2019-07-01,GUERARD-LA-CELLE-SUR-MORIN,93,77
2019-07-01,GUILLERVAL,22,91
2019-07-01,GUY MOQUET,9860,75
2019-07-01,HAUSSMANN-SAINT-LAZARE,30556,75
2019-07-01,HAVRE-CAUMARTIN,15965,75
2019-07-01,HERBLAY,4491,95
2019-07-01,HERICY,69,77
2019-07-01,HOCHE,13700,93
2019-07-01,HOTEL DE VILLE,28831,75
2019-07-01,HOUDAN,1167,78
2019-07-01,HOUILLES-CARRIERES-SUR-SEINE,13565,78
2019-07-01,IENA,6379,75
2019-07-01,IGNY,481,91
2019-07-01,INVALIDES,12093,75
2019-07-01,ISLES-ARMENTIERES-CONGIS,91,77
2019-07-01,ISSOU-PORCHEVILLE,136,78
2019-07-01,ISSY,2988,92
2019-07-01,ISSY-VAL DE SEINE,12218,92
2019-07-01,IVRY-SUR-SEINE,4491,94
2019-07-01,Inconnu,3702,
2019-07-01,JACQUES BONSERGENT,5921,75
2019-07-01,JASMIN,3199,75
2019-07-01,JAURES,14256,75
2019-07-01,JAVEL,6764,75
2019-07-01,JOURDAIN,7009,75
2019-07-01,JOUY-EN-JOSAS,589,78
2019-07-01,JULES JOFFRIN,9957,75
2019-07-01,JUSSIEU,9199,75
2019-07-01,JUVISY,11447,91
2019-07-01,JUZIERS,245,95
2019-07-01,KLEBER,2435,75
2019-07-01,L'ABBAYE,26,94
2019-07-01,L'ETANG-LA-VILLE,544,78
2019-07-01,L'ISLE-ADAM-PARMAIN,638,95
2019-07-01,LA BARRE-ORMESSON,2517,95
2019-07-01,LA CELLE-SAINT-CLOUD,1673,92
2019-07-01,LA CHAPELLE,16921,75
2019-07-01,LA COURNEUVE 8 MAI 1945,15064,93
2019-07-01,LA COURNEUVE-AUBERVILLIERS,15337,93
2019-07-01,LA DEFENSE-GRANDE ARCHE,88395,92
2019-07-01,LA FERTE-ALAIS,282,91
2019-07-01,LA FERTE-SOUS-JOUARRE,1246,77
2019-07-01,LA FOURCHE,6449,75
2019-07-01,LA FRETTE-MONTIGNY,684,95
2019-07-01,LA GARENNE-COLOMBES,6182,92
2019-07-01,LA GRANDE PAROISSE,61,77
2019-07-01,LA MOTTE-PICQUET-GRENELLE,23099,75
2019-07-01,LA MUETTE,9050,75
2019-07-01,LA NORVILLE-SAINT-GERMAIN-LES-ARPAJON,612,91
